,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
76,76,annual_inc:120K-140K,0.22776747735061484,4.6832726658283e-28,annual_inc,16.026037445201446,16.0,-0.02603744520144602,16.0
77,77,annual_inc:>140K,0.2744784857138318,1.0137627179920936e-45,annual_inc,19.31268915614648,19.0,-0.3126891561464795,16.0
78,78,mths_since_last_record:0-37,-0.19660496343703895,0.00013425665610895883,mths_since_last_record,-13.833399494100082,-14.0,-0.16660050589991826,-14.0
79,79,mths_since_last_record:37-60,-0.13410749369136576,0.01258703746259833,mths_since_last_record,-9.435990337951305,-9.0,0.4359903379513046,-9.0
80,80,mths_since_last_record:61-90,-0.236012679978311,1.6336968197130546e-05,mths_since_last_record,-16.606181404258972,-17.0,-0.3938185957410276,-17.0
81,81,mths_since_last_record:>90,-0.28098452557708076,3.7291447679379783e-07,mths_since_last_record,-19.770463196941158,-20.0,-0.22953680305884205,-20.0
82,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
83,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
84,2,addr_state:LA_AR_AL_MS_OK_NM_SD_NV_IA,0.0,,addr_state,0.0,0.0,0.0,0.0
85,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
86,4,purpose:educ__ren_en__sm_b__mov,0.0,,purpose,0.0,0.0,0.0,0.0
87,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
88,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
89,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
90,8,mths_since_issue_d:<30,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
91,9,int_rate:<8.392,0.0,,int_rate,0.0,0.0,0.0,0.0
92,10,mths_since_earliest_cr_line:<167,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
93,11,delinq_2yrs:0,0.0,,delinq_2yrs,0.0,0.0,0.0,0.0
94,12,inq_last_6mths:0,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
95,13,open_acc:0-3,0.0,,open_acc,0.0,0.0,0.0,0.0
96,14,pub_rec:0,0.0,,pub_rec,0.0,0.0,0.0,0.0
97,15,total_acc:<=27,0.0,,total_acc,0.0,0.0,0.0,0.0
98,16,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
99,17,total_rev_hi_lim:<=10K,0.0,,total_rev_hi_lim,0.0,0.0,0.0,0.0
100,18,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
101,19,mths_since_last_record:Missing,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
